ID,Rank,CountryCode,Ch,N2,N3,NcQ4,NcQ3,ChQ4,ChQ3,Q2,Q1
1,1,ESP,CH,N2,N3,N4,,,,,
2,2,END,CH,N2,N3,N4,,,,,
3,3,GER,CH,N2,N3,N4,,,,,
4,4,ITA,CH,N2,,N3,,,,,
5,5,POR,CH,N2,,N3,,,,,
6,6,FRA,CH,N2,,,N3,,,,
7,7,RUS,CH,,,,N2,,,,
8,8,NED,CH,,,,N2,,,,
9,9,UKR,CH,,,,N2,,,,
10,10,BEL,CH,,,,N2,,,,
11,11,TUR,CH,,,,N2,,,,
12,12,GRE,CH,,,,N2,,,,
13,13,SUI,,,,,N2,,CH,,
14,14,AUT,,,,,N2,,CH,,
15,15,CZE,,,,,N2,,CH,,
16,16,ROM,,,,,,,,CH,
17,17,ISR,,,,,,,,CH,
18,18,CYP,,,,,,,,CH,
19,19,DEN,,,,,,,,CH,
20,20,CRO,,,,,,,,CH,
21,21,POL,,,,,,,,CH,
22,22,BLS,,,,,,,,CH,
23,23,SCO,,,,,,,,CH,
24,24,SWE,,,,,,,,CH,
25,25,BUL,,,,,,,,CH,
26,26,NOR,,,,,,,,CH,
27,27,SRB,,,,,,,,CH,
28,28,HUN,,,,,,,,CH,
29,29,SLO,,,,,,,,CH,
30,30,SVK,,,,,,,,CH,
31,31,MOL,,,,,,,,CH,
32,32,AZB,,,,,,,,CH,
33,33,GEO,,,,,,,,CH,
34,34,KAZ,,,,,,,,CH,
35,35,BOS,,,,,,,,CH,
36,36,FIN,,,,,,,,CH,
37,37,ISL,,,,,,,,CH,
38,38,LAT,,,,,,,,CH,
39,39,MON,,,,,,,,CH,
40,40,ALB,,,,,,,,CH,
41,41,LIT,,,,,,,,CH,
42,42,MAC,,,,,,,,CH,
43,43,IRL,,,,,,,,CH,
44,44,LUX,,,,,,,,CH,
45,45,MLT,,,,,,,,CH,
46,46,LIE,,,,,,,,NULL,
47,47,NIR,,,,,,,,,CH
48,48,WAL,,,,,,,,,CH
49,49,ARM,,,,,,,,,CH
50,50,EST,,,,,,,,,CH
51,51,FAR,,,,,,,,,CH
52,52,SMA,,,,,,,,,CH
53,53,AND,,,,,,,,,CH
54,54,GIB,,,,,,,,,CH
